date,energy_yield_kWh,peak_pv_power_W,delta_std,max_delta_hour,morning_afternoon_ratio,mpp1_a_std,mpp2_a_std,mpp1_v_std,mpp2_v_std
2024-09-12,0.3273732945365865,0.3168728383757136,0.3397422747478442,0.2,0.29654574536839273,0.2746066689183063,0.37111827434161926,0.7152550633176556,0.793353891188215
2024-09-13,0.2083729428576501,0.2903411341890519,0.3121916553109776,0.0,0.4164193408524443,0.1716476927679234,0.25798438970718285,0.7223950462895793,0.807887649048533
2024-09-14,0.022063801962829307,0.047094828799902205,0.036176929199172335,0.8,0.22773607097809548,0.018136360192026073,0.08247494025647334,0.3239067756216804,0.5895304308832287
2024-09-15,0.4118550742813151,0.6301553613739226,0.5771121961945261,0.3,0.5152429287893492,0.4521658414501142,0.41974015981392676,0.7339097931099389,0.7779865355493761
2024-09-16,0.015392526199325272,0.039391561084269104,0.054972891565848336,0.7,0.30344295921602965,0.012961791963212083,0.07348673804572954,0.2692189483954559,0.5267017868500898
2024-09-17,0.6113785323240539,0.8083323419920176,0.8167027988504602,0.4,0.05464216411807818,0.5976784031124236,0.9638950496863645,0.5583791859157721,0.6127560692845423
2024-09-18,0.8754351129697757,0.8931513685421388,0.6631159644874198,0.0,0.3769791395730693,0.8509539106489898,0.9120939874880444,0.6812911413374576,0.6881810725862656
2024-09-19,0.9202942449687438,0.8825090011972493,0.6506462544672715,0.0,0.3826716285277202,0.9143782933570849,0.9546445193797666,0.6591441491985829,0.5952652320087329
2024-09-20,0.9015892129380075,0.8678204606299256,0.6398439220238132,0.0,0.4082075814011512,0.9254413285941098,0.9243543820623573,0.6305507005322359,0.5534955569831522
2024-09-21,0.8938506331542957,0.859460724876046,0.633704738296426,0.0,0.409129261567362,0.9325189936808147,0.9385262633581628,0.5857567828492344,0.537943514839803
2024-09-22,0.7751088467084022,0.8358533184104633,0.6263457645588054,0.1,0.482198395385048,0.8917789671519127,0.7305358539117326,0.6473167022910912,0.5751174912352742
2024-09-23,0.7283070191111628,0.8379484364273732,0.6467580922759221,0.1,0.3981779579904481,0.7677560508011584,0.7762874389459784,0.6287780405443073,0.5548320573546779
2024-09-24,0.6739502893701926,0.8375262750923038,0.7815785861525473,0.1,0.4874986193255192,0.7360722896951762,0.7248363364046628,0.6308150268203824,0.6744607085963802
2024-09-25,0.7489581558727171,0.858539459568008,0.6791055867807579,0.0,0.4980701083869351,0.8919995400029729,0.65597715678745,0.6494540918347471,0.6349594960335673
2024-09-26,0.1406175572781486,0.2238154926457026,0.20410522210481172,0.3,0.45178886501621346,0.1386086434423465,0.22317018066166078,0.5618297623100188,0.5801865155291906
2024-09-27,0.0860814939442096,0.22452455179549194,0.3463425385887896,0.7,0.0,0.14419113780887913,0.14969523856522057,0.44321130456837243,0.0
2024-09-28,0.38765374621170773,0.4747750246380149,0.43385766501217654,0.6,0.3312356684153091,0.33446542343136687,0.3671687743805277,0.8886283289438499,0.7999913654898971
2024-09-29,0.853573403628828,1.0,0.9521202038177706,0.6,0.5075470010957419,0.9983191877943357,0.7380704443375924,0.8351761862759974,0.7179378547471136
