PV(W)_sum,PV(W)_mean,PV(W)_std,PV(W)_max,Battery(W)_mean,SOC(%)_mean,Load(W)_mean,Difference_mean,Difference_std,Difference_min,diff_mean_30d_avg,cluster,cluster_proba_0,cluster_proba_1,cluster_proba_2
0.0,0.0,0.0,0.0,0.4664753769772377,0.0,0.0,0.98632118029112,0.032078105734729,1.0,0.9980319149283724,1,8.178621616126274e-16,0.9999999999781259,2.1873288690147435e-11
0.0,0.0,0.0,0.0,0.4664753769772377,0.0,0.0,0.99516361297388,0.0430443828793123,1.0,0.9987890899734052,1,8.601337277905461e-21,0.9999999999591189,4.088221165586929e-11
0.0,0.0,0.0,0.0,0.4664753769772377,0.0,0.0,0.9991342571754088,0.0487120588208236,1.0,0.9997800253046532,1,1.0245958900374809e-23,0.9999999999340865,6.591433624685006e-11
0.0,0.0,0.0,0.0,0.4664753769772377,0.0,0.0012839248258016,0.9905281862440642,0.0371648699666958,1.0,1.0,1,5.379611908342967e-18,0.9999999999723101,2.7691218757602657e-11
0.1276529202456903,0.1276529202456903,0.3194499527539173,0.5621857326093129,0.8373501609959927,0.3700758276308489,0.1300979627237675,0.864033022638783,0.3089452638529673,0.450790689888935,0.9909945444521768,0,1.0,2.8309761418026924e-291,0.0
0.2222040205840634,0.2222040205840634,0.3293678100974139,0.5091295146004138,0.4843679946363904,0.6190123913445533,0.151044789014129,0.7784617275594607,0.3093431358085227,0.5030684695111178,0.9769757477964712,0,1.0,6.311518900972428e-185,0.0
0.561513716080629,0.561513716080629,0.6928361984956658,0.8604735579096682,0.5803126807367688,0.5471795820233032,0.2595149640031609,0.4406523303060545,0.6696566702690254,0.1443298678618839,0.9420575770750116,0,1.0,0.0,0.0
0.6452359417288304,0.6452359417288304,0.8212965361945,0.8507365790715019,0.1151763681305839,0.619715184020714,0.2082149331030739,0.349675514852678,0.8116183987141043,0.1536368272750609,0.9045979076773888,0,1.0,0.0,0.0
0.4201889959207924,0.4201889959207924,0.5142782811099278,0.6339960678241419,0.7402280256334719,0.5997040872942482,0.2789051684238369,0.5685523742808032,0.4977817016268057,0.378517776812605,0.8835492695785486,0,1.0,1.1658340984517991e-262,0.0
0.1761745295815917,0.1761745295815917,0.1833640491602181,0.2071688718331701,0.4124213464537801,0.3384131681154059,0.1831006008560861,0.8147849164851783,0.1392377844094257,0.8327390790888217,0.8784357577382375,0,1.0,6.76345280691238e-65,0.0
0.6055617780896061,0.605561778089606,0.6440193247755376,0.6788449757467034,0.2666760544450733,0.620972813020159,0.1702321496020321,0.3935383132277363,0.6198026551714404,0.3377673914587838,0.8504412301706746,0,1.0,0.0,0.0
0.296399832141933,0.296399832141933,0.3316066786206963,0.3828434362171233,0.6480711694639538,0.6232661364897355,0.2202960363389524,0.7005874750973136,0.2930625839208407,0.6459682840263323,0.8409234839472671,0,1.0,7.73379738360703e-192,0.0
0.1686820753068851,0.1686820753068851,0.3627887751226407,0.5513342941129119,0.0178975512408893,0.0797854632883299,0.1790356607973087,0.8248437439619973,0.3608929961423637,0.4550658928077554,0.8384718150893453,0,1.0,1.1711740369383198e-163,0.0
0.0,0.0,0.0,0.0,0.4664753769772377,0.0,0.2333899889227053,0.991981999846562,0.038650055479544,1.0,0.8444460020321237,1,1.0478555688178674e-18,0.9999999772355468,2.2764454849718545e-08
0.0,0.0,0.0,0.0,0.4664753769772377,0.0,0.3175270488308153,0.9960146660544048,0.042663701205778,1.0,0.8502003830672035,1,1.5540470765432224e-20,0.9999998731010971,1.2689890354243182e-07
0.0,0.0,0.0,0.0,0.4664753769772377,0.0,0.2439146183771136,0.9983654816848982,0.0454155688981242,1.0,0.8556794496095057,1,4.1420841067682457e-22,0.9999999502091382,4.9790862111446786e-08
0.1060514489323844,0.1060514489323844,0.2589279912739972,0.3756772187452983,1.0,0.0962825966339929,0.4423114583049188,0.8879858664525506,0.2595716716457978,0.6390142883017461,0.8512731516852382,0,1.0,4.828959671404984e-90,0.0
0.0,0.0,0.0,0.0,0.4664753769772377,0.0,0.1698038710792571,1.0,0.0471613408890073,1.0,0.8520707955587229,1,3.15735547939495e-23,0.9999999840843047,1.5915695213007707e-08
0.158087935439689,0.1580879354396889,0.3006856638429976,0.5109072545059954,0.4705393262571797,0.0136859626410209,0.7812467170693793,0.8390077609895895,0.2949704188641776,0.5050557695352796,0.8452689798564844,0,1.0,6.2351411416409e-170,0.0
0.2819010785018045,0.2819010785018045,0.5525277281553528,0.711554149653637,0.1412301940877504,0.3453671167005733,0.1625671924361041,0.7159790063805347,0.5636848113330974,0.2877709523039216,0.8329332941932419,0,1.0,3.119421841062871e-238,0.0
0.7878758214851386,0.7878758214851386,0.8652910921239905,0.9085359795579446,0.4126636078889841,0.7544664324024414,0.2219640353552913,0.2074350968277492,0.8613432362712841,0.0907692563572718,0.797320504909865,0,1.0,0.0,0.0
0.7069952796896566,0.7069952796896565,0.8170019667032292,0.9099254260901146,0.5208675674462543,0.7545404105788792,0.2332194135120248,0.2896835281775262,0.8079120706060096,0.0915362132200719,0.7654882457425032,0,1.0,0.0,0.0
0.6524386707470617,0.6524386707470616,0.7015336554681658,0.73605731584779,0.4330972781074858,0.3558350286665434,0.6825967677259149,0.3448362770306484,0.6846976253068279,0.2694508860942428,0.7361537500807402,0,1.0,0.0,0.0
0.2128941756603243,0.2128941756603243,0.2971558183915262,0.4562471944702955,0.4398143980101607,0.3283521361198447,0.1949615561512453,0.7844789318991927,0.2848966224100591,0.5474276379210922,0.7267735560374414,0,1.0,4.245859038788523e-110,0.0
