energy_yield_kWh,peak_pv_power_W,delta_std,max_delta_hour,morning_afternoon_ratio,mpp1_a_std,mpp2_a_std,mpp1_v_std,mpp2_v_std,cluster
0.0492674685225064,0.1359064083796727,0.08622843591343,0.6666666666666666,0.054850822862936,0.0852933407898979,0.0777536776296562,0.4590713150965698,0.4251859528874532,1
0.0167099984037826,0.028229391870182,0.0182595187130813,0.75,0.0670026103111324,0.0451472213824514,0.0367730847180943,0.0993316821282005,0.1332618390471479,1
0.1615335441516174,0.3597453384376239,0.2039807539811008,0.4166666666666667,0.0505171438515168,0.1582484782410598,0.3058944999993938,0.6976910856248135,0.6951206331586157,-1
0.0366264669226856,0.1366744299216437,0.0971781113822909,0.4166666666666667,0.2003666659586013,0.0761723265392552,0.0634232605493885,0.3577338715520869,0.3031899620761757,-1
0.017991233918472,0.0514793827405488,0.0337359755445144,0.5833333333333334,0.0482334022064344,0.0,0.0586936118111971,0.0999000537146194,0.2840893308159632,1
0.0067404601413698,0.018014677053028,0.0117059767804463,0.5833333333333334,0.0641801525506025,0.0055355238764326,0.0229548043926365,0.0869933526617055,0.1263473262637184,1
0.05097200357167,0.140009930776149,0.1199376712087423,0.5833333333333334,0.1533882671731795,0.0944400766769722,0.0919713329514802,0.3957318363148751,0.3654980891934555,1
0.1493455747403481,0.3922587221967284,0.2685343356563439,0.4166666666666667,0.0990209058097198,0.1071559677793372,0.344549420309224,0.3965449138997181,0.6831085146226868,-1
0.2469224193771606,0.3860907703513677,0.2239234431992153,0.25,0.1109973863640243,0.0388131770190262,0.5628674572759079,0.1001635472262176,0.8837191233170892,-1
0.1850870715097973,0.3331558834611529,0.2237023506369057,0.5,0.1690605717557922,0.0814411137686307,0.3676549064739912,0.4888632359770604,0.9054378132892036,-1
0.0447952297963118,0.1533655224853664,0.104013446573522,0.5833333333333334,0.0770491953447257,0.0969779444708789,0.0717779198096049,0.3615694651712304,0.341032245983186,1
0.0900698184256268,0.1987548029655313,0.1446931579730245,0.5,0.0478464399346035,0.1221686393042385,0.1374052021327767,0.5999256203998915,0.5357428050028983,1
0.0902748371692927,0.1895147649522867,0.1338597089681191,0.5833333333333334,0.0527825777570018,0.0987241640172583,0.1734069275573223,0.4152011049918587,0.4570736101152242,-1
0.1888211769421836,0.3393709696915996,0.2044696804582842,0.25,0.1618199098410807,0.1570027369561213,0.3627430303583864,0.6667035722344004,0.7953838945227708,-1
0.0764412221216672,0.280546690925541,0.2094231855231656,0.4166666666666667,0.2205418559636574,0.1128635984175541,0.1808798379388622,0.4189713250748169,0.3555053388412722,-1
0.2733901910970495,0.4063711534166201,0.2354049286606512,0.25,0.1192276628875527,0.0475675459112927,0.6210211808348036,0.1095144130171607,0.8547366130513553,-1
0.2825336650731861,0.4132447055912704,0.2398309844200197,0.25,0.1204964570413383,0.0449465002887012,0.6312873300651565,0.1172615280682338,0.8954429306372639,-1
0.2678885476644967,0.4042363762518567,0.2332455234935717,0.25,0.135898361642888,0.0827545958113275,0.5835788867700256,0.4656751361935914,0.912857587980087,-1
0.2352287327154678,0.3654378416358264,0.2233025458669389,0.5833333333333334,0.1350437734567775,0.157563534891106,0.4388410650870836,0.6840949326745613,0.9253575690590388,-1
0.0481380719296908,0.1259685549956361,0.0799072981833999,0.75,0.0206215209122033,0.0973761745005088,0.0664561687967418,0.4180686760851413,0.3246877255060722,1
0.0253854833664887,0.0725000445865804,0.0503309536719982,0.5,0.0417568705330784,0.0611099784315213,0.0403760338097627,0.2611005615342031,0.1687074444415671,1
0.0688005388274319,0.1157249650596908,0.0789150022117294,0.8333333333333334,0.0556244314320104,0.1105556067130801,0.0807725565176004,0.6507307458784266,0.3579985485587597,1
0.0246102788664622,0.0445823341457055,0.0292332489047731,0.3333333333333333,0.0907507798598646,0.0563406188534524,0.0413315636778139,0.2035526651638475,0.1825582087351919,-1
0.0407004986973987,0.1144895629184592,0.0834865530736848,0.5,0.2328252693382667,0.0803295675391623,0.0625241916846163,0.3373870036163934,0.2927808024047762,-1
0.2207004562456845,0.4235771855987893,0.2860509256142857,0.4166666666666667,0.050349400447686,0.1184956498098346,0.531842638219558,0.6434779717761381,0.6818152762652919,-1
0.0911815926208126,0.1691152012496698,0.1330063565341455,0.4166666666666667,0.0593256558695426,0.1421339041901679,0.104922329953163,0.7273049949850839,0.5886290641144223,1
0.0835509792680801,0.1579188739383085,0.1047566428003345,0.6666666666666666,0.0696321119102141,0.1397858958081851,0.101032286516253,0.6288892476674826,0.5208257269409384,1
0.1290725940931138,0.3063267933076534,0.2061065931443527,0.3333333333333333,0.1066507835379549,0.1725010615054942,0.2365567832995383,0.6617755157724918,0.5985100090534118,-1
0.0912120328034597,0.2225713972698292,0.1410650585275978,0.5,0.0316555833669553,0.1560799013974287,0.1367627785239934,0.5964169839276356,0.5186928205596887,-1
0.1189220436959443,0.1783654304813114,0.1394724607556484,0.75,0.0979687326003403,0.1551218905450199,0.1284526900657098,0.8611006821193116,0.730005875424179,1
0.046404544663325,0.094493543155422,0.0539619065940413,0.75,0.0330775743016423,0.0853795624480805,0.0598934350129738,0.4290952844312698,0.3005529776242194,1
0.1228631752786358,0.1917070092652329,0.1461382704757044,0.75,0.0723540908482717,0.1780787773456817,0.1408323966396638,0.8134738308888748,0.6336048157671317,1
0.284760372660892,0.5334188452047345,0.3389966925206639,0.5833333333333334,0.1450294793064762,0.1570460029462178,0.6016302492656084,0.6781711366192918,0.7927217597705379,-1
0.1947932775110842,0.4088324742041861,0.3725338743925355,0.4166666666666667,0.0999217147174565,0.1980520853716405,0.364171205076975,0.7534317906178299,0.7103639378952065,-1
0.3003093660443645,0.457736309584303,0.2437901216988309,0.25,0.100881278143323,0.1629781651472346,0.6044851371730918,0.7726559537086787,0.8620944596999057,-1
0.1973666576437577,0.3359462956761208,0.2233284745605578,0.4166666666666667,0.1269137528199543,0.226973857830508,0.2912335102214413,0.7889034237239909,0.7812711216602067,1
0.2170652073632135,0.3318151720631527,0.2405819020510117,0.25,0.1132793036382248,0.1829579873024594,0.3968162293474995,0.7621366729037571,0.715402679655846,-1
0.3173960164594839,0.5109247030321422,0.2902241656494728,0.5833333333333334,0.1227088427528714,0.2116698492691085,0.5962698388335925,0.8046557623571425,0.865958868329534,-1
0.1789182944526913,0.3736706475641714,0.3112855889337383,0.3333333333333333,0.1490701141340963,0.1740608093166155,0.3657327811283624,0.6264348204033512,0.612455756001778,-1
0.1998905601390152,0.4207891796437207,0.294589668026301,0.5833333333333334,0.0541847582719921,0.234955899204305,0.307047401591318,0.804001412693034,0.6983081460512373,1
0.3468088018067844,0.4713827756519336,0.2740225008322085,0.1666666666666666,0.1159778781138816,0.2385434463981805,0.5986118863658252,0.816803519357636,0.891447490288527,-1
0.1059874671021839,0.2136491271079898,0.1434959578073584,0.4166666666666667,0.0461281708904661,0.1853684516173758,0.1343614983740559,0.6414083348145158,0.5971048270094822,-1
0.0789085552396595,0.1170697812539898,0.0669356210862395,0.75,0.0631071396545926,0.1208766146366197,0.0836500742410199,0.6779838672967937,0.5301890569705161,1
0.3331457340527461,0.4074708141905922,0.2745238266380478,0.8333333333333334,0.0953861007772553,0.2409832852813896,0.504038095039946,0.8328768526653452,0.865844698940738,-1
0.3879705926774314,0.5317966013985183,0.2944748062220203,0.3333333333333333,0.0895643318652533,0.202560246845446,0.7457162752654094,0.7817032969936605,0.765368592409717,-1
0.2355613040515011,0.41797442174036,0.2388330704092116,0.6666666666666666,0.0974144975351009,0.2632141055722649,0.349113991841345,0.8329859158366896,0.7371850140474291,1
0.221426561553809,0.303356760868439,0.1947427535189133,0.25,0.0943497845602673,0.2671931863687279,0.2591523040390973,0.8859242149824281,0.8290964166079811,-1
0.1222777529767989,0.1955476831538876,0.1158399121463691,0.3333333333333333,0.132489091224106,0.1814314967541874,0.1268758736004383,0.7734904192158406,0.5660756592899991,-1
