,PV(W),SOC(%),Battery(W),Meter(W),Load(W),MPP1(A),MPP2(A),MPP1(V),MPP2(V),IT1(°C)
2023-04-01 00:00:00,0.0,19.0,0.0,-1215.0,1215.0,0.0,0.0,0.0,0.0,24.166666666666668
2023-04-01 01:00:00,0.0,19.0,0.0,-1263.0,1263.0,0.0,0.0,0.0,0.0,23.75
2023-04-01 02:00:00,0.0,18.333333333333332,0.0,-1096.0,1096.0,0.0,0.0,0.0,0.0,23.650000000000002
2023-04-01 03:00:00,0.0,18.0,0.0,-1256.0,1256.0,0.0,0.0,0.0,0.0,23.508333333333336
2023-04-01 04:00:00,0.0,18.0,0.0,-1354.0,1354.0,0.0,0.0,0.0,0.0,23.483333333333334
2023-04-01 05:00:00,132.7,18.0,0.0,-1458.0,1590.7,0.0,0.05833333333333334,104.60000000000001,107.79166666666667,23.758333333333336
2023-04-01 06:00:00,1987.23,18.0,0.0,-2204.0,4191.2300000000005,0.3,0.48333333333333334,202.3083333333333,211.39166666666665,25.808333333333334
2023-04-01 07:00:00,5676.21,20.166666666666668,0.0,-1922.0,7598.21,1.0,1.175,215.9333333333333,217.75,28.275000000000002
2023-04-01 08:00:00,21490.08,33.916666666666664,0.0,-2256.0,23746.08,3.983333333333333,4.1,220.79999999999998,221.67499999999998,33.958333333333336
2023-04-01 09:00:00,14374.52,47.083333333333336,0.0,-1493.0,15867.52,2.6916666666666664,2.766666666666667,217.90833333333333,219.83333333333334,35.50833333333333
2023-04-01 10:00:00,13363.31,53.75,0.0,1079.0,13509.69,2.4250000000000003,2.5500000000000003,225.875,226.225,35.925000000000004
2023-04-01 11:00:00,9928.6,39.166666666666664,0.0,-2862.0,12798.61,1.7249999999999999,1.8416666666666668,234.36666666666667,234.1833333333333,35.324999999999996
2023-04-01 12:00:00,9994.55,38.166666666666664,0.0,-2256.0,12250.55,1.8333333333333333,1.925,218.75833333333333,223.86666666666667,33.56666666666667
2023-04-01 13:00:00,13198.19,49.166666666666664,0.0,-2148.0,15346.19,2.441666666666667,2.5083333333333333,219.4416666666667,223.9416666666667,33.483333333333334
2023-04-01 14:00:00,17772.68,66.41666666666667,0.0,-2036.0,19808.68,3.3166666666666664,3.3333333333333335,219.67499999999998,225.375,35.324999999999996
2023-04-01 15:00:00,15172.83,83.91666666666667,0.0,-2156.0,17328.83,2.8166666666666664,2.8833333333333333,220.24166666666667,222.63333333333333,35.53333333333333
2023-04-01 16:00:00,5150.15,92.0,0.0,-1790.0,6940.15,0.9,1.0583333333333333,217.8166666666667,220.1833333333333,31.525000000000002
2023-04-01 17:00:00,2599.08,94.41666666666667,0.0,-2118.0,4717.08,0.425,0.5916666666666667,207.125,214.1916666666667,29.575
2023-04-01 18:00:00,459.52,96.0,0.0,-1982.0,2441.52,0.025000000000000005,0.16666666666666666,191.75,197.54999999999998,27.516666666666666
2023-04-01 19:00:00,26.17,96.0,0.0,-1292.0,1318.17,0.0,0.016666666666666666,27.816666666666663,27.333333333333332,25.433333333333334
2023-04-01 20:00:00,0.0,96.0,0.0,-1316.0,1316.0,0.0,0.0,0.0,0.0,24.558333333333334
2023-04-01 21:00:00,0.0,96.0,0.0,-1196.0,1196.0,0.0,0.0,0.0,0.0,24.275000000000002
2023-04-01 22:00:00,0.0,96.0,0.0,-1312.0,1312.0,0.0,0.0,0.0,0.0,24.141666666666666
2023-04-01 23:00:00,0.0,95.33333333333333,0.0,-1171.0,1171.0,0.0,0.0,0.0,0.0,23.983333333333334
2023-04-02 00:00:00,0.0,94.08333333333333,0.0,-1434.0,1437.0,0.0,0.0,0.0,0.0,24.150000000000002
2023-04-02 01:00:00,0.0,93.66666666666667,0.0,-1332.0,1332.0,0.0,0.0,0.0,0.0,23.958333333333332
2023-04-02 02:00:00,0.0,93.0,0.0,-1208.0,1208.0,0.0,0.0,0.0,0.0,23.866666666666664
2023-04-02 03:00:00,0.0,93.0,0.0,-1348.0,1348.0,0.0,0.0,0.0,0.0,23.733333333333334
2023-04-02 04:00:00,0.0,93.0,0.0,-1346.0,1346.0,0.0,0.0,0.0,0.0,23.75
2023-04-02 05:00:00,96.77,93.0,0.0,-1543.0,1639.77,0.0,0.05000000000000001,93.98333333333333,93.01666666666667,24.016666666666666
2023-04-02 06:00:00,1136.3400000000001,93.16666666666667,0.0,-1935.0,3071.34,0.14166666666666666,0.3166666666666667,195.29166666666666,210.85,25.566666666666666
2023-04-02 07:00:00,2964.8,95.41666666666667,0.0,-2019.0,4983.8,0.4916666666666667,0.6666666666666666,210.32500000000002,215.0666666666667,27.575
