,PV(W),SOC(%),Battery(W),Meter(W),Load(W),MPP1(A),MPP2(A),MPP1(V),MPP2(V),IT1(°C),MPP3(A),MPP4(A),MPP3(V),MPP4(V),IT2(°C)
2024-03-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21 06:00:00,0.0,0.0,0.0,0.0,0.0,0.034999999999999996,0.03333333333333333,52.475,52.43333333333334,0.5,0.0,0.0,0.0,0.0,0.0
2024-03-21 07:00:00,15343.0,0.0,0.0,0.0,15343.0,0.5566666666666666,0.7966666666666667,732.25,526.05,10.008333333333333,0.0,0.0,0.0,0.0,0.0
2024-03-21 08:00:00,112800.0,0.0,0.0,0.0,112800.0,1.6624999999999999,3.645,776.5666666666666,733.7916666666666,15.683333333333332,0.0,0.0,0.0,0.0,0.0
2024-03-21 09:00:00,214270.0,0.0,0.0,0.0,214270.0,2.904166666666667,5.7058333333333335,769.4333333333334,734.0333333333333,20.158333333333335,0.0,0.0,0.0,0.0,0.0
2024-03-21 10:00:00,278335.0,0.0,0.0,0.0,278335.0,3.685833333333333,7.2375,758.1999999999999,723.7416666666667,22.59166666666667,0.0,0.0,0.0,0.0,0.0
2024-03-21 11:00:00,346792.0,0.0,0.0,0.0,346792.0,4.3025,8.396666666666667,747.4416666666666,716.8000000000001,26.65833333333333,0.0,0.0,0.0,0.0,0.0
2024-03-21 12:00:00,231381.0,0.0,0.0,0.0,231381.0,2.6616666666666666,5.150833333333334,761.1999999999999,729.3583333333332,26.116666666666664,0.0,0.0,0.0,0.0,0.0
