date,PV(W)_sum,PV(W)_mean,PV(W)_std,PV(W)_max,Battery(W)_mean,SOC(%)_mean,Load(W)_mean,Difference_mean,Difference_std,Difference_min,diff_mean_30d_avg
2023-04-29,0.7633301920848999,0.7633301920848998,0.9000325835868418,0.8862481769920417,0.2508227138459878,0.9913148286008012,0.13575472064408303,0.2444781048051783,0.8932960487586296,0.1206517823280675,0.5471548161882852
2023-04-30,0.5850585027800278,0.5850585027800278,0.7023208512165678,0.7429312976786149,0.557991925757003,0.991740224750966,0.16830043695190655,0.42361914144938106,0.6820983654680224,0.25937922454462636,0.5326041145977691
2023-05-01,0.2480980482351315,0.24809804823513149,0.2984636962992374,0.3246288845122393,0.39679818296778613,0.987876209720302,0.11654826140972296,0.7728762528578413,0.26237686247235315,0.6833989671464674,0.5469491832541804
2023-05-02,0.31472632292211705,0.314726322922117,0.38916798161945465,0.42090090800350766,0.4823053963058255,0.9860328264029209,0.14111705803312746,0.6972339100429243,0.3578608081108997,0.5979110271469635,0.5541399268843126
2023-05-03,0.6197506676491633,0.6197506676491633,0.848565033848834,0.9272669811033782,0.50745231089635,0.9911730298840794,0.16383572803101892,0.3801864894760962,0.8654764877264134,0.061484012745852,0.5384943933044214
2023-05-04,0.815196641833532,0.815196641833532,0.9172628303721938,0.9229874624446973,0.4622963981392609,0.9947888971604807,0.14039525975321882,0.18379860267101825,0.9189877784646648,0.07168214765481276,0.5114206806054333
2023-05-05,0.6815085331308465,0.6815085331308465,0.8310246568947574,0.8976327698362235,0.4669181122297242,0.9916338757134247,0.09029704313191975,0.3278063396245198,0.8137280473641049,0.11560740932403737,0.4959990730601241
2023-05-06,0.6555544739729185,0.6555544739729185,0.7986523021740993,0.8021217927107936,0.49052847327526183,0.9930518628806407,0.0779573346071977,0.34661366150357004,0.7969716326782413,0.1997286437860426,0.4831105795029414
2023-05-07,0.6006940278845457,0.6006940278845457,0.7391504071945983,0.7866649182347962,0.42278936350680096,0.9929455138430998,0.12165799509802223,0.410240576328489,0.7157611253947154,0.22555551853571565,0.4750032268567995
2023-05-08,0.41514654031245324,0.41514654031245324,0.548264392155524,0.6422974987208611,0.4402417189485299,0.9913502782799815,0.08468935844839581,0.6069347823020141,0.5107692269020381,0.38684576313840013,0.47841565201513664
2023-05-09,0.7737456468039011,0.7737456468039011,0.915680831748275,0.8799056302506361,0.4735831490595816,0.9938317558226097,0.15882155130145237,0.24339614253484698,0.8926173933656991,0.13515134458815226,0.46231413966507423
2023-05-10,0.29048646817931295,0.29048646817931295,0.39971868897959906,0.5135551130296265,0.5124175484686478,0.9834449998227517,0.13187446446528675,0.7369362687627897,0.3530613330618939,0.5219316983954262,0.47256804031829325
2023-05-11,0.14692217714653877,0.14692217714653877,0.17648512490428384,0.20631727726776153,0.39118625130459006,0.982523308164061,0.08043094928000845,0.8804022437746627,0.1164910334807224,0.8406806837958253,0.4890931312725506
2023-05-12,0.22836530836606705,0.22836530836606705,0.2578469831031893,0.2933454356415102,0.3941527115165265,0.9899322911127654,0.08942303163525143,0.7896635721871225,0.20984144174167568,0.7427561451949626,0.5001499039668179
2023-05-13,0.24272971267680749,0.24272971267680749,0.28129197799586625,0.31261950450185133,0.4942983224996352,0.9885143039455493,0.11817990045703487,0.7740501246154662,0.2533830369261739,0.718126848875168,0.5097317525950109
2023-05-14,0.4141044663853689,0.41410446638536885,0.7073489917837735,0.8809733737447435,0.44002790112917295,0.9843666914814421,0.13835715182407513,0.5979260713103758,0.7110383571363966,0.10815998241951424,0.5109067398563458
2023-05-15,0.4055516797351194,0.40555167973511935,0.49309498977986566,0.523191805672507,0.39642636006868376,0.9867063703073486,0.1609161564105767,0.599732120813027,0.4772145900614618,0.4903952915489613,0.5002855460261143
2023-05-16,0.1995082067043273,0.19950820670432728,0.25816081377162675,0.32901333186896464,0.46573294311581304,0.9800418306214328,0.18231648545494972,0.816394995064839,0.2224946040484429,0.7002775660951828,0.5012150464599427
2023-05-17,0.6586095900002783,0.6586095900002782,0.7527185638328519,0.7574205723364886,0.4261774326296998,0.991740224750966,0.14606837446086157,0.34710800294403515,0.7374555215459431,0.25746320680818485,0.4883958735039262
2023-05-18,0.48828460135059004,0.48828460135059,0.5976560221635389,0.6475385789555413,0.4382696688155882,0.9879471090786627,0.24328041789753813,0.5343764484002345,0.5595521650812814,0.3712739826534482,0.47744731486172826
2023-05-19,0.5146993965178251,0.5146993965178251,0.6015592227061826,0.8059256573908254,0.4768066623117009,0.9910312311673579,0.187686654378581,0.5023585476274911,0.5873930206166335,0.18760570089780995,0.4614066992329198
2023-05-20,0.6377864709344748,0.6377864709344748,0.826242697293767,0.8082028721753132,0.4847538199627758,0.9912439292424402,0.1538625501804049,0.37290426497842416,0.8115375973787051,0.2036375159057317,0.43858046324554345
2023-05-21,0.6863788803108923,0.6863788803108923,0.7899755223117368,0.8748485455070979,0.42882054579618706,0.9952851926690062,0.13370353160482473,0.3196359272078521,0.7791326249684996,0.11439378161208794,0.44213340961548053
2023-05-22,0.8646453346841277,0.8646453346841277,0.9306201032698982,0.9058132207653096,0.4951551659669111,0.9957460384983515,0.09448257008155796,0.1412022559330534,0.9236146380007225,0.10531090876224161,0.4338419450505388
2023-05-23,0.6145913323946761,0.6145913323946761,0.7470460052046548,0.7798535532605425,0.46631989399247914,0.9934063596724448,0.08134542778429991,0.3982444228234057,0.7380274303174992,0.20405248625638445,0.4299501561771087
